Month,Year,ID,Offence,Area,CourtType,Outcome,Gender,Age,Ethnicity,Casetype,ChargeType
February 2023,2025,4097,Assault,North Diana,Crown Court,Sentenced,Female,51,Asian,Family,postcharge_cfs
May 2023,2024,8289,Assault,South Waynechester,Crown Court,Community Service,Male,76,Mixed,Family,postcharge_cfs
November 2023,2024,2852,Theft,North Joannabury,Magistrates' Court,Sentenced,Female,56,Black,Immigration,postcharge_cfs
October 2024,2024,6402,Fraud,Lake Robertton,Crown Court,Dismissed,Male,31,White,Family,postcharge_cfs
March 2024,2025,6440,Assault,Birdchester,Crown Court,Not Guilty,Female,32,Other,Housing,postcharge_cfs
March 2024,2024,6127,Fraud,Lake Donaldville,Crown Court,Guilty,Female,26,Black,Housing,postcharge_cfs
February 2024,2025,3581,Fraud,Lake Sally,Crown Court,Fine,Female,47,Other,Housing,postcharge_cfs
April 2024,2024,1009,Theft,Lake Alanstad,Magistrates' Court,Dismissed,Female,69,Other,Immigration,postcharge_cfs
July 2023,2023,9191,Fraud,Annetown,Magistrates' Court,Fine,Female,65,Mixed,Immigration,postcharge_cfs
January 2023,2024,2708,Drug Offense,East Kim,Crown Court,Not Guilty,Female,44,Other,Housing,postcharge_cfs
January 2023,2024,3059,Assault,South Scott,Crown Court,Fine,Male,76,Other,Immigration,postcharge_cfs
April 2024,2025,7534,Theft,Hawkinsfort,Magistrates' Court,Not Guilty,Female,33,Other,Immigration,postcharge_cfs
February 2024,2024,1569,Drug Offense,East Melanie,Crown Court,Not Guilty,Male,22,White,Immigration,postcharge_cfs
April 2023,2025,1023,Drug Offense,Port Rosie,Crown Court,Not Guilty,Female,66,Mixed,Housing,postcharge_cfs
April 2025,2023,8746,Burglary,Shaneshire,Crown Court,Dismissed,Female,72,Mixed,Housing,postcharge_cfs
April 2023,2023,4253,Assault,Jonesville,Crown Court,Sentenced,Male,52,Asian,Immigration,postcharge_cfs
October 2025,2023,5685,Burglary,Baxtermouth,Magistrates' Court,Dismissed,Female,76,Mixed,Housing,postcharge_cfs
February 2023,2025,2583,Burglary,Rogerton,Magistrates' Court,Fine,Female,64,White,Housing,postcharge_cfs
November 2025,2023,3353,Theft,Port Louis,Magistrates' Court,Guilty,Female,72,Asian,Housing,postcharge_cfs
September 2023,2025,4855,Theft,North Iain,Magistrates' Court,Sentenced,Male,69,Other,Housing,postcharge_cfs
April 2023,2023,9708,Fraud,West Jaybury,Magistrates' Court,Dismissed,Female,25,Asian,Family,postcharge_cfs
